@relation clean_DB-weka.filters.supervised.instance.Resample-B0.0-S1-Z1.0

@attribute C_YEAR {1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017}
@attribute C_MNTH {01,02,03,04,05,06,07,08,09,10,11,12}
@attribute C_WDAY {1,2,3,4,5,6,7}
@attribute TIMEOFDAY_CAT {sunRise,midday,sunSet,night}
@attribute C_SEV {1,2}
@attribute VEHS_CAT {1,2,3,4,5,6,7,8}
@attribute C_CONF {01,02,03,04,05,06,21,22,23,24,25,31,32,33,34,35,36,41}
@attribute C_RCFG {01,02,03,04,05,06,07,08,09,10,11,12}
@attribute C_WTHR {1,2,3,4,5,6,7}
@attribute C_RSUR {1,2,3,4,5,6,7,8,9}
@attribute C_RALN {1,2,3,4,5,6}
@attribute C_TRAF {01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18}
@attribute V_ID {01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99}
@attribute V_TYPE {01,05,06,07,08,09,10,11,14,16,17,18,19,20,21,22,23,NN}
@attribute V_YEAR {1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NNNN}
@attribute P_ID {01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,NN}
@attribute P_SEX {F,M,N}
@attribute P_AGE_CAT {1,2,3,4,5,6,7,8,9,10,11,12,13,NN}
@attribute P_PSN {11,12,13,21,22,23,31,32,33,96,97,98,99,NN}
@attribute P_ISEV {1,2,3,N}
@attribute P_SAFE {01,02,09,10,11,12,13,NN}
@attribute P_USER {1,2,3,4,5}
@attribute V_AGE_CAT {1,2,3,4,5,6,NNNN}

@data

1999,02,2,midday,2,3,21,01,3,2,4,18,01,01,1994,01,M,6,11,1,02,1,3
1999,07,2,midday,2,2,35,01,1,1,1,03,01,01,1995,01,F,10,11,2,02,1,2
1999,12,5,midday,2,2,33,03,1,1,1,18,02,01,2000,01,F,9,11,2,02,1,1
1999,10,2,sunRise,2,2,41,01,1,1,1,18,01,01,1993,01,M,3,11,2,02,1,3
1999,01,2,night,2,2,33,02,2,5,1,01,01,06,1998,01,M,6,11,2,02,1,1
1999,05,5,midday,2,2,33,02,1,1,1,01,01,01,1998,01,M,6,11,1,02,1,1
1999,06,6,night,2,2,35,02,1,1,1,03,02,01,1993,02,F,8,13,2,02,2,3
1999,09,1,night,2,2,35,02,1,1,1,01,02,01,1990,01,M,5,11,1,02,1,3
1999,08,1,night,2,2,33,02,1,1,1,01,01,01,1987,01,M,3,11,1,02,1,4
1999,06,3,sunSet,2,2,33,03,1,1,1,18,01,01,1988,01,M,6,11,1,02,1,4
1999,02,3,midday,2,2,35,02,3,2,1,03,02,01,1991,02,F,13,13,2,02,2,3
1999,10,5,night,2,3,33,02,1,1,1,01,03,01,1990,02,F,6,13,1,02,2,3
1999,06,4,night,2,1,01,02,1,1,1,01,01,01,1989,04,M,1,23,1,02,2,3
1999,07,6,night,2,2,22,02,1,1,1,18,02,01,1994,01,F,7,11,1,02,1,3
1999,10,4,night,2,3,22,01,1,1,1,18,01,01,1998,01,F,7,11,2,02,1,1
1999,08,1,midday,2,3,21,01,1,1,2,18,02,01,1995,02,F,5,13,2,02,2,2
1999,12,7,midday,2,2,34,02,1,2,1,03,01,06,1992,03,F,3,22,2,02,2,3
1999,08,3,sunSet,2,3,21,01,1,1,1,18,03,01,1998,01,M,6,11,1,02,1,1
1999,04,5,midday,2,1,01,01,1,1,1,18,01,01,1988,01,M,11,11,1,02,1,4
1999,04,2,night,2,2,34,02,1,1,1,01,02,01,1988,02,M,7,13,2,02,2,4
1999,08,4,night,2,3,33,02,1,1,1,01,03,01,1999,01,M,9,11,2,02,1,1
1999,04,1,night,2,3,21,02,1,1,1,18,02,01,1988,01,M,8,11,2,02,1,4
1999,03,5,night,2,2,33,02,1,1,1,01,02,11,1994,04,F,6,23,2,13,2,3
1999,05,6,midday,2,2,33,01,1,1,1,18,02,01,1997,01,F,7,11,1,02,1,2
1999,11,5,night,2,2,31,02,1,1,1,18,01,01,1991,01,F,9,11,2,02,1,3
1999,04,3,sunRise,2,2,33,02,1,1,1,01,01,01,1991,01,M,9,11,2,02,1,3
1999,02,4,sunRise,2,2,35,01,2,2,1,18,02,01,1994,01,F,5,11,2,02,1,3
1999,04,4,sunRise,2,2,34,03,1,1,1,18,02,01,1989,01,F,8,11,1,02,1,3
1999,08,2,midday,2,2,35,02,1,1,1,18,02,01,1993,02,M,10,13,2,02,2,3
1999,09,5,sunSet,2,2,33,02,1,1,1,01,01,01,1990,01,F,9,11,1,02,1,3
